track_id,track_name,artist_name,genre,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
TRK000001,,Artist_032,pop,7,1,0.4601,0.5217,-14.856,0.0967,0.3863,0.0479,0.2802,0.4344,134.28,245026,46
TRK000002,Track_0002,Artist_271,hip-hop,9,1,0.6569,0.5275,-13.269,0.0982,0.1866,0.1951,0.1433,0.5942,122.05,268478,66
TRK000003,Track_0003,Artist_229,pop,7,0,0.6392,0.6152,-9.022,0.082,0.7157,0.1625,0.2153,0.8769,110.42,325169,63
TRK000004,Track_0004,Artist_154,pop,7,0,0.5864,0.11,-23.484,0.1938,1.0,0.0053,0.4843,0.4427,108.66,195847,50
TRK000005,Track_0005,Artist_152,electronic,5,1,0.4584,0.7699,-7.558,0.1281,0.0,0.0776,0.1912,0.5727,160.13,205826,63
TRK000006,Track_0006,Artist_300,,2,1,0.5752,0.3758,-15.967,0.0805,0.6126,0.0037,0.2489,0.6335,137.86,137927,67
TRK000007,Track_0007,Artist_030,latin,3,0,0.4915,0.5555,-14.006,0.1645,0.3935,0.0876,0.1034,0.4742,117.73,199148,57
TRK000008,Track_0008,Artist_244,rock,8,0,0.534,0.779,-12.229,0.0608,0.0849,0.0778,0.427,0.4094,170.5,197967,54
TRK000009,,Artist_071,classical,0,0,,0.3746,-18.018,0.0227,0.812,0.1652,0.2266,0.6341,118.68,194598,47
TRK000010,Track_0010,Artist_033,hip-hop,1,1,0.6543,0.311,-16.584,0.1262,0.8714,0.2953,0.2467,0.484,142.58,259504,52
TRK000011,Track_0011,Artist_184,jazz,4,1,0.625,0.6834,-7.895,0.1106,0.3651,0.0554,0.1146,0.5311,84.47,244395,50
TRK000012,Track_0012,Artist_341,electronic,9,0,0.7,0.4436,-13.153,0.1394,0.4409,0.0873,0.0973,0.6181,85.96,253617,60
TRK000013,Track_0013,Artist_257,hip-hop,7,0,0.8362,0.6032,-9.388,0.0908,0.2828,0.2362,0.0848,0.3111,141.87,157311,51
TRK000014,Track_0014,Artist_266,latin,7,0,0.7752,0.4641,-15.167,0.2975,0.5438,0.1983,0.1469,0.464,130.63,213489,56
TRK000015,Track_0015,Artist_251,rock,6,1,0.578,0.7483,-9.387,0.2375,0.1694,0.1359,0.3528,0.4138,182.11,227653,49
TRK000016,Track_0016,Artist_275,pop,1,0,,0.3371,-15.758,0.1032,0.6618,0.2789,0.4948,0.3401,102.25,296251,53
TRK000017,Track_0017,Artist_180,jazz,3,0,0.7535,0.7039,-8.979,0.3604,0.3965,0.1653,0.4636,0.6078,140.92,217442,43
TRK000018,Track_0018,Artist_045,country,0,0,0.8151,0.6592,-7.502,0.0221,0.0648,0.0168,0.2228,0.4837,115.12,204822,52
TRK000019,Track_0019,Artist_294,pop,9,0,0.1846,0.5292,-11.518,0.08,0.3343,0.1975,0.0946,0.6201,145.75,261086,51
TRK000020,Track_0020,Artist_158,hip-hop,9,1,0.4949,0.1305,-18.304,0.0729,0.8634,0.0533,0.1724,0.3997,143.53,200566,41
TRK000021,Track_0021,Artist_175,rnb,3,0,0.7598,0.3937,-16.362,0.3339,0.888,0.0102,0.0925,0.3867,121.23,233340,29
TRK000022,Track_0022,Artist_130,classical,3,0,0.8002,0.2141,,0.141,0.9381,0.1248,0.2383,0.1717,101.26,232007,29
TRK000023,Track_0023,Artist_064,metal,3,1,0.8499,0.6701,-4.782,0.3334,0.3293,0.3448,0.2252,0.562,112.5,188783,56
TRK000024,Track_0024,Artist_324,electronic,10,0,0.3358,0.6697,-9.148,0.0291,0.4027,0.0203,0.1195,0.3762,90.84,181076,61
TRK000025,Track_0025,Artist_273,jazz,5,0,0.7825,0.8759,,0.0452,0.1059,0.2057,0.124,0.5944,132.21,208579,55
TRK000026,Track_0026,Artist_225,,9,1,0.4171,0.6427,-11.908,0.0966,0.5512,0.0432,0.2328,0.9203,55.0,190523,46
TRK000027,Track_0027,Artist_141,latin,5,1,0.6419,0.3198,-14.998,,,0.0248,0.1925,0.153,105.73,142575,49
TRK000028,Track_0028,Artist_288,hip-hop,8,0,0.7232,0.6637,-6.914,0.1559,0.5665,0.081,0.2952,0.6169,147.31,242467,60
TRK000029,Track_0029,Artist_191,classical,6,0,0.409,0.5846,-12.227,0.2784,0.1715,0.0319,0.3849,0.4153,146.65,235665,49
TRK000030,Track_0030,Artist_155,hip-hop,3,1,0.8182,0.6204,-9.062,0.2187,0.2345,0.1953,0.1626,0.5905,76.86,176574,57
TRK000031,Track_0031,Artist_158,electronic,10,0,0.5414,0.5712,-10.817,,0.4783,0.3015,0.0518,0.1445,138.32,172209,41
